fpid,doi,search_strategy,selection_criteria,data_analysis,scale,data_in_europe,nb_of_papers,background,objective,impact_matrix,result1,result2,result3,result4,result5,general_conclusion,knowledge_gaps
manure storage techniques,10.1021/acs.est.6b06430,"the isi web of knowledge database (www.isiwebofknowledge.com) and the chinese journal database (www.cnki.net) were used to search all published data sets as of january 2016. specific search terms were combined and used, depending on animal categories (swine, pig, livestock, animal), manure, in-house manure management (slatted floor, pit, bedding, litter, pull-plug, discharge, scraper, separation), outdoor manure management (lagoon, slurry pond, storage tank, compost, solid storage, stockpile), land application (surface spreading, injection, incorporation, band spreading), gaseous emission (nh3, ch4, n2o, and ghg gas), and mitigation measure (diet, biofilter, biogas, additive, cover, acid, cooling, nitrification inhibition).","literature sources used in this study were selected based on the following criteria: (1) the research object was swine; (2) the study included at least one of the ch4, n2o and nh3 gases; (3) gas emission flux or gas emission factor was available; (4) for literature related to mitigation, only studies that reported at least one control group were selected so that emission mitigation efficiency could be calculated.",the wilcoxon signed-rank test was used to determine if the median mitigation efficiency was significantly different from zero when there were sufficient results for specific measures.,global,y,142,"Studies have been conducted to address manure-related emissions, and various mitigation measures have been tested and developed. However, most studies have focused either on one specific gas, one individual manure management phase or influencing factor, or mitigation practice.","the objective of this study is to estimate the emissions mitigation potentials for nh3, methane (ch4), and nitrous oxide (n2o) of different swine manure storage and treatement mitigation startegies. here the results concerning ch4 and n2o emissions are reported.",ghg emissions,"the results show that straw cover, oil cover and granul cover may decrease ch4 emission by 14, 12, and 9%, however these reductions were not significant (p=0.49; p = 0.18, and p=0.36, respectively). floating straw and granule covers may increase n2o emissions by 29 (p<0.05) and 2.7 (p=0.18) times.","cooling reduced the ch4 emission by 38%, as compared with no cooling (p = 0.028). acidification results in a high ch4 mitigation efficiency, but the result was not significant (88%, p = 0.068).","covering manure compost might increase ch4 emissions (+48%, p=0.145) while decreasing n2o emissions (-16%, p=0.348) but these results were not significant. there was only one observation to estimate the mitigation efficiency of manure stockpile cover, showing that this mitigation strategy could reduce ch4 (-8.8%) and n2o (-99%) emissions. as only one observation was reported, the wilcoxon test was not applied in this case. the result was considered as uncertain.","avoiding manure application to rice paddy fields is an effective ghg mitigation option, with ch4 and n2o mitigation efficacy of 57% (p < 0.001) and 23% (p = 0.575), respectively.","slurry injection significantly increased n2o emissions (+84%, p=0.003), while addition of nitrification inhibitors mitigated n2o emissions (-28%, p=0.016). other upland application strategies were not effective in reducing n2o emissions (p>0.05).","overall, this study shows that among investigated mitigation strategies, cooling and compost cover were effective in reducing ch4 and n2o emissions, respectively. this study shows that avoiding to spread swine manure in rice paddies and adding nitrification inhibitors in the manure before spreading in upland were effective in mitigating ch4 and n2o emissions, while slurry injection increased n2o emissions.",NA
manure storage techniques,10.1021/acs.est.8b02475,"the isi web of knowledge database (www.isiwebofknowledge.com) and the chinese journal database (www.cnki.net) were used to search all published datasets as of december 2017. specific search terms were combined and used, including animal categories (beef, cattle, bull, steer, bovine, heifer, livestock), manure, manure management (feedlot, pad, yard, open-lot, pen, compost, stockpile), land application (surface spread, incorporation), gaseous emissions (nh3, ch4, n2o, and ghg gas), and mitigation measures (diet, crude protein, additive, amendment, urease inhibitor, biofilter, biotrickling, cover, nitrification inhibitor, incorporation, reduce, mitigation, abatement).","literature sources used in this study were selected based on the following criteria: 1) the research object was beef cattle; 2) the study included at least one of the ch4, n2o and nh3 gases; 3) gas emission flux or gas emission factor was available; 4) for literature related to mitigation, only studies that reported at least one control group were selected, so that emission mitigation efficiency (me) could be calculated.",the wilcoxon signed-rank test was used to determine if the median values of mitigation efficiency were significantly different from zero when there were sufficient results for specific measures.,global,y,104,"Beef cattle production systems are the largest contributors of greenhouse gas (GHG) and ammonia (NH3) emissions in the livestock industry. Much work in literature has evaluated gas emissions or mitigations targeted at
one specific gas or one emission stage, while little research has considered it in a comprehensive way.",the objective of this meta-analysis is to quantify the mitigation efficiency of several mitigation strategies for manure composting and stockpiling to reduce ghg emissions (methane (ch4) and nitrous oxyde (n2o)).,ghg emissions,"the results showed that additives can be effective in ch4 mitigation, with mitigation efficiency of -97.0% (p=0.102) but it may increase n2o emission by 135.0% (p=0.109). in both cases, p value are above 0.05, so the results were considered as not significant.","for beef manure stockpiling, ch4 emission and n2o emissions can be increased by 29.8% (p<0.05) and 13.0% (p=0.128) with straw or sawdust covering, respectively. in the case of n2o, p value is above 0.05, so the result was considered as not significant.",incorporation can decrease n2o emission by 65.0% (p<0.05) when compared with manure surface application.,manure additives such as biochar and nitrification inhibitor resulted an integrated n2o mitigation efficiency of -28.0% (p=0.100). the p value was superior to 0.05 so the result was considered as not significant.,NA,this study shows that the different tested mitigation strategies were not significantly effective in reducing ghg emissions. stockpile covers had negative effect on ch4 emissions.,"there are only 2 papers that studied the impact of compost additives on gas emissions from beef cattle manure, with one study specified for ch4 and n2o and the other for nh3; no research is available for the effect of biofilter on compost ch4 and n2o emissions specifically for beef cattle manure;"
manure storage techniques,10.1111/gcb.12767,"studies related to manure management and emissions of nh3, n2o and ch4 were searched using the bibliographical database scopus, until the beginning of 2014.","only data from studies with reference treatments (i.e. without mitigation/processing measures) were included in our database, so as to allow side-by-side comparisons. to maximize the number of studies, both laboratory and field experiments were taken into account. the reported experiments and measurements were predominately conducted in eu, united states and canada. mean values of replicates for each treatment were included in the database. manure characteristics (e.g. manure type, dry matter content, total n content, ammoniacal n content and ph), land use parameters (e.g. soil texture, vegetation), environmental conditions (e.g. temperature, seasons and geographical locations) were also included, and used to, if possible, quantify their relationships with emissions and the effectiveness of the measures.","for calculation of grouped effect sizes, a mixed-effects model was used and performed in the nlme package of r statistical software version 3.1. experimental sites were considered as a random effect factor, to allow accounting for variances among studies. the lnr of individual pairwise comparison was the dependent variable. the mean effect size and the 95% confidence intervals (cis) of each categorical group were estimated. the significance of the effects on emissions was statistically assessed at 0.05 level. in the graphs (forest plots), the ‘effect-size’ (the mean value and 95% cis) of each grouping was transformed back (i.e. exponentially transformed) and converted to a percentage change in gas emissions relative to the reference treatment.",global,y,126,"Livestock manure contributes considerably to global emissions of ammonia (NH3) and greenhouse gases (GHG), especially methane (CH4) and nitrous oxide (N2O). Various measures have been developed to mitigate these emissions, but most of these focus on one specific gas and/or emission source.","the overall objective of this study is to make a quantitative assessment of the effects of (sets of) mitigation options on the nh3, n2o and ch4 emissions from the whole manure chain, namely livestock housing, manure storage and land application. first, the impacts of a suite of nh3 mitigation measures on nh3 emissions at individual stages, and also the associated impacts on n2o and ch4 emissions were analysed by means of a meta-analysis of published data. second, we evaluated the overall impacts of combinations of mitigation measures (including manure processing) on nh3, ch4, and (direct and indirect) n2o emissions from the whole manure management chain through scenario analysis.",ghg emissions,"slurry acidification also led to a statistically significant reduction (on average, 87%) of ch4 emissions during slurry storage","methane emissions were slightly suppressed by artificial film covers, but the effect was not statistically significant (p > 0.05). similarly, for all other grouped side-by-side comparisons, the changes in ch4 emissions showed negative mean values. these effects were not statistically significant.","emissions of n2o were enhanced by a factor of 8.6, when stored slurry was covered by chopped straw (p < 0.01). by contrast, slurry covered with artificial film decreased n2o emissions by 98% (p < 0.01).",NA,NA,"slurry acidification significantly decreased emissions of nh3 and ch4 from slurry storages. covering slurry storages with straw significantly increased n2o emissions, covers with plastic films significantly reduced n2o. covers had no effects on ch4 emissions.",the results collected did not allow comparing management options across animal species (e.g. pigs vs. cattle). data from both field-and laboratory-scale studies were included in our database as data solely from field-scale studies were insufficient.
manure storage techniques,10.1111/gcb.12806,the authors gathered the available peer-reviewed literature published before november 2013 concerning gaseous emissions during composting and/or storage of organic solid waste. articles were searched on the isi web of knowledge and google scholar database by combining specific keywords related to treatment.,"first, studies describing data of ch4, n2o, or nh3 fluxes (at least one of them) over a reported measurement period were collected. we decided to analyze gaseous losses in terms of cumulative emissions, as a proportion of initial carbon (c) or n content in the waste material (%ch4-c, %nh3-n, %n2o-n). thus, to harmonize the data included in our dataset, in some cases, it was necessary to transform the reported data into values referred to an element mass basis. those studies not describing results as cumulative emissions or not reporting enough details to perform this conversion were excluded from the analysis. additionally, we decided to include articles which expressed results just in terms of total n losses, based on a n mass balance, because this approach can add valuable information with regard to the general influence of different treatments and conditions in the overall n conservation through solid waste management. this parameter involves the already mentioned n gaseous emissions (nh3, n2o) but also any other kind of n losses via gas or liquid, such as dinitrogen (n2) or nitrate.","the only criterion used for weighting was the number of aggregated independent treatments contained in our composite datasets. weighted mean effect sizes of each category were calculated, with bias-corrected 95% confidence intervals (cis) generated by a bootstrapping procedure (10 000 iterations), using metawin software. mean effects of treatments were considered different from the control at the 0.05 significance level when the 95% confidence interval did not overlap zero.",global,y,76,"The establishment of sustainable soil waste management practices implies minimizing their environmental losses associated with climate change (greenhouse gases: GHGs) and ecosystems acidification (ammonia: NH3). Although a number of management strategies for solid waste management have been investigated to quantify nitrogen (N) and carbon (C) losses in relation to varied environmental and operational conditions, their overall effect is still uncertain. ","the authors have analyzed the current scientific information through a systematic review. the authors quantified the response of ghg emissions, nh3 emissions, and total n losses to different solid waste management strategies (conventional solid storage, turned composting, forced aerated composting, covering, compaction, addition/substitution of bulking agents and the use of additives).",ghg emissions,"unlike composting methods, covering and compaction are management strategies which involve a restriction in the o2 supply within the waste material, thus limiting biological activity and preventing temperature increase. no significant effect on ch4 or n2o emissions was observed by covering or compacting practices.","when aiming at reducing n2o emissions, the application of specific additives has not resulted in consistent effects.",NA,NA,NA,"covering or compaction did not show significant effects on reducing either ch4 or n2o emissions. the use of specific additives has no effect on n2o, while few data where available for ch4. nevertheless, their effectiveness varies depending on the substance, dosage, and operational conditions.","the number of studies reporting ch4 losses from solid waste management applying additives is limited. our results are based on 9 experiments from only two studies examining the effect of phosphogypsum addition on gaseous emissions. average values suggest that this strategy tends to reduce ch4 emissions (mean: -59%). however, more data are still required to confirm this trend. although the number of experiments investigating the influence of management practices on ghg emissions has grown during the last decade, an important restriction of our dataset is that there is still a limited knowledge basis with respect to gaseous losses from solid waste management, particularly for ch4 and n2o emissions at commercial scale. in addition to this, the collected results showed large variability, which emphasizes the need to produce additional data through precise and accurate research methods to obtain robust ef estimates that can help reduce current uncertainties."
manure storage techniques,10.1139/cjas-2015-0111,not reported,"although the primary focus is on canadian research, applicable research from other cold climatic regions with similar dairy production systems was considered. the majority of studies evaluating ghg emissions from composting in canada do not include reference manure storage for comparing change of emissions due to composting; therefore, only studies on dairy manure composting were considered.",not reported,cold climatic countries,y,7,There is a need for a comprehensive review of recent Canadian relevant research evaluating options for mitigating GHG emissions from enteric fermentation and manure management.,"the objectives of this paper were to (1) review recent canadian research on enteric methane (ch4) emissions, and ch4 and nitrous oxide (n2o) emissions from stored manure related to dairy cattle, and (2) identify strategies for ghg mitigation that can currently be used in canadian dairy farms and promising technologies that have potential to be used as mitigation strategies in the future.",ghg emissions,"one study observed about 50% lower total ghg emissions (ch4 and n2o) from the completely emptied manure storage compared with emissions from the partially emptied storage. in another pilot level study, the presence of a small quantity of inoculum (∼8%) could support the immediate production of appreciable amounts of ch4 from manure within 10 d after refilling the storage with new manure, indicating that the storage should be emptied nearly completely to prevent old manure becoming an effective inoculum.",several recent experiments evaluating the effect of various cover types on ch4 and n2o emissions from dairy manure have indicated appreciable reductions of these two gases combined (up to 26% reduction) compared with emissions from uncovered slurry.,NA,NA,NA,"this review identify several promising strategies for mitigating ghg emissions from dairy manure, including ad, solid–liquid separation, composting, manure storage covers, and complete emptying of liquid manure storage at spring application. these results are uncertain due to the methodology used in this study (only systematic review, no quantitative analysis).",no quantitative statistical analysis is reported in this synthesis study.
manure storage techniques,10.2134/jeq2017.05.0199,emission reduction potentials for the identified abatement options were estimated using effective observations from published literature according to the methods described in recent studies that focus on emission abatement in manure management systems.,"the selection criteria were as follows: (i) the animal category was either cattle or pigs; (ii) the study was subject to at least one of the eight chosen abatement options; (iii) the study measured and reported either nh3 and/or ghg emissions for at least one of the manure management stages of housing, treatment, storage, or application; (iv) the study included data on reference treatments and base emissions; and (v) the article was peer reviewed and available in english. this resulted in a selection of 89 peer-reviewed papers and reports measuring nh3 and/or ghg emissions from on-farm and experimental farm settings.","descriptive statistics were used to quantify and describe the emission reductions. means and sds were calculated and reported for all existing datasets. high variability occurred in several instances, with sds exceeding the mean value such that reported trends may be merely indicative. the use of complex statistical models was not possible due to a small sample size.",not reported,not reported,89,"Farm livestock manure is an important source of ammonia and greenhouse gases. Concerns over the environmental impact of emissions from manure management have resulted in research efforts focusing on emission abatement. However, questions regarding the successful abatement of manure-related emissions remain. The deficiencies in single-pollutant, single-stage approaches when devising abatement strategies are also highlighted, along with potential solutions and the way forward in tackling these deficiencies.","the present study identifies potential abatement options to reduce greenhouse gases (ghgs) and ammonia (nh3) emissions collectively. it also sheds light on the potential cobenefits and the issue of pollution swapping by determining the trends in interactions of methane (ch4), nitrous oxide (n2o), and nh3 among the various abatement options identified. here the results regarding the impact of different abatement options at different stages of pig and cattle manure management (feeding strategies, animal housing, manure treatment and manure storage) on ghgs (ch4 and n2o) emissions are presented.",ghg emissions,"in the case of ch4 emissions, estimates from the present study show a reduction in emissions by 29 ± 116%, primarily during the storage of digestate. n2o emissions increased by 20 ± 41% during the storage of anaerobic digestate. n2o emissions decreased by 29 ± 43% during the application of anaerobic digestate.",this study indicates that acidification of manure can reduce ch4 emissions by 74 ± 22% during the storage of manure. overall estimates indicate a n2o reduction of 56 ± 51% during storage of acidified manure. overall estimates indicate a n2o reduction of 52% when acidified manure was applied to the soils.,"results from the analysis indicate a reduction in ch4 emissions by 12 ± 33%  with the use of covers. the use of covers led to large  increases in n2o emissions (>500%). this estimate was accompanied by high variability, due to contrasting emission trends among all the covering materials analyzed.",NA,NA,"this study shows that several abattement options can reduce ghg emissions from from pig and cattle manure management. however, several options are associated with tradeoffs between the different ghg considered. these results are based on descriptive statistics, but not on a model taking into account between-studies variability.",NA
manure storage techniques,10.3390/agronomy10111633,"a systematic literature search was conducted on the databases of scopus, google scholar, and gray literature, and from the websites of governmental/non-governmental agencies by combining the following keywords: ammonia emission, ammonia abatement, europe, abatement strategies, integrated assessment, systematic review, meta-analysis, air quality, long-range transboundary air pollution (lrtap), livestock, livestock management, animal housing, manure treatment, animal diet, europe, france, belgium, germany, netherlands, spain, uk, sweden, finland.",not specified,"to analyze the combined effect of different measures, taking sample sizes into account, testing for moderators, and obtaining corresponding forest plots, the meta-analytical software openmee was used (http://www.cebm.brown.edu/openmee). a random effect model was used to aggregate the collected data into a meta-analysis, to satisfy the assumption of variance heterogeneity.",europe,y,38,"Research efforts are in place for the abatement of NH3 emissions at the various stages of the manure management chain, namely; the feeding, housing, treatment, storage, and application stages to ensure a whole-farm management model. However, the impact of these mitigation strategies on the emission of other GHGs has not received equal attention.","investigate the consequences of the most effective measures to decrease nh3 emissions from slurries, for the emission of other ghg (swapping effect)",ghg emissions,"slurry acidification was effective for the reduction of ammonia emissions (-69%) and had no pollution swapping effect with other greenhouse gases, like nitrous oxide (-21%) and methane (-86%).","all other management strategies, like different storage covers, the concealing of the liquid slurry with different materials were effective to varying degrees for the abatement of ammonia emission, but also resulted in the increased emission of at least one other greenhouse gas.",the strategies focusing on the decrease of ammonia emissions neglected the consequences of the emissions of other greenhouse gases.,NA,NA,"slurry acidification was effective for the reduction of ammonia emissions, and had no pollution swapping effect with other greenhouse gases, like nitrous oxide and methane. all other management strategies, like different storage covers and the concealing of the liquid slurry with different materials were effective to varying degrees for the abatement of ammonia emission, but also resulted in the increased emission of at least one other greenhouse gas.",NA
manure storage techniques,10.1016/j.jclepro.2019.06.288,"peer-reviewed literature, theses and conference papers from 1994 to 11th february 2018 were collected, using the electronic databases: web of science, google scholar and the china national knowledge infrastructure. in this literature search, the following specific keywords were combined: composting, additives (amendments), nitrogen loss, ammonia, nitrous oxide, methane or greenhouse gas emissions.","to be included in this meta-analysis, studies needed to meet the following criteria: (i) the study should include control treatments; (ii) the study described the mitigation efficiency of at least one of tn, nh3, n2o and ch4 for each treatment; (iii) aerobic composting process was ensured by forced aeration and/or turning; and (iv), the composting process was complete, as indicated by the compost temperature remaining stable at the ambient temperature.","mean effect sizes and bias-corrected 95% confidence intervals were generated by running a bootstrapping procedure with 5000 iterations using metawin 2.1.4 software. the effects of 3 variables on mean effect were explored: additive type, application dosage and feedstock properties.",global,y,105,"Composting of solid waste can be associated with a loss of the agronomic value (nutrient loss), as well as a source of environmental impact through the emission of the greenhouse gases (GHG) nitrous oxide (N2O) and methane (CH4) and volatilization of ammonia (NH3). Additives have been considered as a useful option to mitigate these environmental emissions, but the wider effects of using different additives on multiple gas emissions is still uncertain.","the objectives of this study were: (i) to quantify and compare the mitigation effect of different additives on multiple gases; (ii) to assess the importance of feedstock properties (moisture content, c/n ratio and ph) on mitigation effect; (iii) to investigate the relationship between additive application dosage and mitigation effect; (iv) to explore optimal options to reduce tn loss and nh3, n2o and ch4 emissions. here the results concerning the impact of additives during composting on tn losses are reported.",nutrients recovery,"according to this meta-analysis, the use of additives can significantly reduce tn loss (46.4%, on average), compared with the control.","there was a range in mitigation efficiencies depending on the additive type. application of chemical additives was more efficient at reducing tn loss (52.0%), compared with other additives. the effectiveness of chemical additives on tn loss can vary according to additive properties. specifically, phosphate and magnesium salts had the greatest mitigation potential, reducing tn loss by 68.0%, followed by superphosphate. acids were very effective in reducing tn loss during composting (37.1%).","the application of physical additives was also an effective option to reduce tn loss, with respective average reductions of 43.5%, with biochar and zeolite giving significant reductions.","the present meta-analysis showed that the application of microbial additives were less effective than chemical or physical additives in reducing tn loss, with average reduction of 10.2%.","there was significant linear correlation between application dosage of phosphate and magnesium salt and the mitigation efficiency for tn loss between 0 and 20%, with tn loss decreasing by 4.7% for every 1% increase in the application of phosphate and magnesium salt. the magnitude of the mitigation of tn loss increased as the dosage rate of superphosphate increased over the range of 0–20%, with decreases in tn losses of 3.2% for every 1% increase in superphosphate application. chemical additives at low moisture content were more effective in mitigating tn loss (57.8%) than these at high moisture content (40.9%). at low c/n ratios (≤20), chemical additives resulted in a greater mitigation of tn loss compared to physical additives, although at high c/n ratios (>20 to ≤ 30) there was a tendency for the opposite effect.",this first global meta-analysis establishes that the use of additives can significantly reduce the tn loss during composting.,NA
manure storage techniques,10.1016/j.scitotenv.2019.135401,"the authors searched for relevant peer-reviewed publications between 2000 and 2018 in international and chinese journals using google scholar and web of science. studies related to composting and n loss were searched with keywords “compost, co-compost (i.e. compost consisting of two or more types of feedstock), nitrogen loss, ammonia volatilization, nitrous oxide loss, nitrogen emission reduction, pig manure, chicken manure, cow manure, organic household waste, kitchen waste, sewage sludge, food waste”.","1) the focus had to be on active composting (traditional static stockpiling studies were excluded), 2) studies reported on raw feedstock characteristics (type of feedstock, total c and tn, c/n ratio, ph, moisture), composting procedure (composting type, duration, aeration rate, turning frequency), n loss mitigation technology (c/n ratio modulation, microbial inoculation, physical or chemical additives, covering, aeration rate and turning frequency), 3) studies reported on at least one of the focus n losses (tn, nh3, n2o), on gas emissions as cumulative emissions and as proportion of the initial n content of the feedstock, 4) studies provided sample size for treatments and, lastly, 5) data that had been used in multiple publications were analyzed only once.",the authors used the bootstrap resampling procedure (4999 iterations) to obtain the weighted mean effect size and the 95% confidence intervals (cis) of each technology category,global,y,114,"Composting is an important technology to treat biowastes and recycle nutrients, but incurs nitrogen (N) losses that lower the value of the final products and cause pollution. Technologies aimed at reducing N losses during composting have inconsistent outcomes.","advance quantitative knowledge of n losses during composting and the mitigation potential of in situ technologies.  1) quantify n losses (tn, nh3 and n2o) from composting, 2) analyze the factors driving n losses; and 3) determine the n mitigation potential of in situ technologies. here, we report only data regarding the mitigation potential of in-situ technologies. here we report only results regarding mitigation technologies.",nutrients recovery,"taken together, the in situ technologies reduced losses of total nitrogen by 31.4.","the reduction of total nitrogen losses across all technologies was statistically, and averaged ca 38.1%, pa 28.6%, co 27.8% and mi 20.1%.","physical additives clay and biochar significantly reduced tn by 38.8% (clay); and 30.2% (biochar). zeolite did not affect tn losses. chemical additives (with the exception of dcd that had no measurable effect) significantly reduced tn loss, ranking mg-p salts 60.9% > acid substances 44.8% > metal salts 41.5% > ca-superphosphate 19.7% > gypsum 15.0%.",NA,NA,"the reduction of total nitrogen losses across all technologies was statistically, and averaged chemical additives 38.1%, physical additives 28.6%, c/n regulation 27.9%, covering 27.8%, optimized aeration 26.9%, and microbial inocula 20.1%. biochar and magnesium-phosphate salts emerged as the most effective n-conserving strategies.",NA
manure storage techniques,10.1111/gcb.12806,the authors gathered the available peer-reviewed literature published before november 2013 concerning gaseous emissions during composting and/or storage of organic solid waste. articles were searched on the isi web of knowledge and google scholar database by combining specific keywords related to treatment.,"first, studies describing data of ch4, n2o, or nh3 fluxes (at least one of them) over a reported measurement period were collected. we decided to analyze gaseous losses in terms of cumulative emissions, as a proportion of initial carbon (c) or n content in the waste material (%ch4-c, %nh3-n, %n2o-n). thus, to harmonize the data included in our dataset, in some cases, it was necessary to transform the reported data into values referred to an element mass basis. those studies not describing results as cumulative emissions or not reporting enough details to perform this conversion were excluded from the analysis. additionally, we decided to include articles which expressed results just in terms of total n losses, based on a n mass balance, because this approach can add valuable information with regard to the general influence of different treatments and conditions in the overall n conservation through solid waste management. this parameter involves the already mentioned n gaseous emissions (nh3, n2o) but also any other kind of n losses via gas or liquid, such as dinitrogen (n2) or nitrate (urn:x-wiley:13541013:media:gcb12806:gcb12806-math-0001).","the only criterion used for weighting was the number of aggregated independent treatments contained in our composite datasets. weighted mean effect sizes of each category were calculated, with bias-corrected 95% confidence intervals (cis) generated by a bootstrapping procedure (10 000 iterations), using metawin software. mean effects of treatments were considered different from the control at the 0.05 significance level when the 95% confidence interval did not overlap zero.",global,y,76,"The establishment of sustainable soil waste management practices implies minimizing their environmental losses associated with climate change (greenhouse gases: GHGs) and ecosystems acidification (ammonia: NH3). Although a number of management strategies for solid waste management have been investigated to quantify nitrogen (N) and carbon (C) losses in relation to varied environmental and operational conditions, their overall effect is still uncertain. ","the authors have analyzed the current scientific information through a systematic review. the authors quantified the response of ghg emissions, nh3 emissions, and total n losses to different solid waste management strategies (conventional solid storage, turned composting, forced aerated composting, covering, compaction, addition/substitution of bulking agents and the use of additives).",nutrients recovery,"although results indicate that compaction and covering have an influence toward reducing nh3-n emissions and total n losses, in the case of compaction statistical significance could not be found.",the addition of additives has been shown to be effective at both mitigating nh3 emissions during storage or composting of solid waste and enhancing n conservation in the final material. this study shows that the use of additives can significantly reduce n losses during solid waste management processes.,NA,NA,NA,"covering and compaction have positive and no effect, respectively. the use of specific additives reduces total nitrogen losses. nevertheless, their effectiveness varies depending on the substance, dosage, and operational conditions.",NA
mulching,10.1016/j.envpol.2021.117844,"peer-review scientific literature published between january 1, 1980 and march 31, 2021 were searched using a combination of keywords (such as “nh3 volatilization” or “nh3 emission”) from the web of science and china knowledge resource integrated databases.","1) only experiments conducted in china were included; 2) studies must have reported a mean value of cumulative soil nh3 volatilization after fertilization; 3) field, in-situ pot or lysimeter studies were included.","a random-effect model was employed to calculate the mean effect size of each improved farming practice, and it's 95 % confidence interval (ci) was obtained using a bootstrapping procedure with 4999 iterations (rosenberg et al., 2000). a categorical random-effect model was used to determine the mean effect size of different groups among the improved farming practices and to derive impact factors of specific improved farming practices. calculations were performed using metawin 2.1. the improved farming practice was deemed to have a significant impact on av or ysav when the 95 % ci did not overlap with the zero line. categorical groups were deemed significantly different where the 95 % cis did not overlap with each other.",china,n,447,High ammonia (NH3) emissions from fertilized soil in China have led to various concerns regarding environmental safety and public health.,"select effective measures based on absolute (av) and yield-scaled (ysav) nh3 volatilization reduction potential, with the aim of establishing a comprehensive nh3 mitigation framework covering various crop production sectors, and offering a range of potential solutions.",air pollutants emissions,"in dryland cropping regions, plastic film mulching reduced ammonnia volatilization (av) and yield scale ammonia volatilisation (ysav) by 52.2 and 52.4 %, respectively compared to un-mulched soil.","for paddy fields, applying ground rice bran, a molecular film or a vegetative film to the flood water reduced av by 14.6, 22.3 and 26.3 %, respectively, and ysav by 20.5, 31.7 and 33.3 %, respectively.","significant av and ysav reductions were associated with applying straw to neutral or alkaline soils with low soil organic matter content, adopting maize or cash crops as crop type, or by applying added n fertilizer to the soil subsurface.",NA,NA,reduction of ammonia volatilisation with soil muching compared to no mulching.,NA
mulching,10.1016/j.jclepro.2020.123835,"several databases, including scopus, google scholar, research gate, web of science (isi), china national knowledge infrastructure (cnki), and agricultural and environmental journals (e.g., environment international, field crops research, frontiers in ecology and the environment, soil & tillage research etc.) were screened. words “ammonia volatilization” and “ammonia emission from soil in china” were used as keywords to collect peer-reviewed papers about ammonia volatilisation in china. more than 2000 papers were searched online and papers suspected to match our criteria were downloaded.","1) experimental details including paper citation, province, location, trial type, year, number of replicates, climatic conditions, crop type, and soil properties; 2) treatment details including irrigation and tillage systems, fertilizer type, rate and methods of application, and amendments like mulching, biochar, and inhibitors; 3) av rate (kg ha-1) and standard deviation (std)-missing stds were imputed using standard error, variance, p-values, and t- values applied by the meta-analysis.","the software comprehensive meta-analysis (cma-2) was used with standardized mean difference corrected for bias (hedges’ g) (continuous means for unmatched groups, post-data only pathway) to compare av changes among different crop types, climatic conditions, and soil grades when using control observations only. publication bias was assessed at p > 0.05 using rosenthal’s fail-safe n test based on z-values and 2-tailed p-values.",china,n,112,Numerous strategies for mitigating ammonia volatilization (AV) from agricultural land have been investigated with limited evaluation of their efficacy and response to differing field conditions across China.,"this study aimed to answer the following questions: 1) what is the general comment on ammonia volatilisation from three staple crops in china? 2) how might ammonia volatilisation respond to variations in crop type, soil properties, and climatic conditions? 3) what are the optimal strategies for control of ammonia volatilisation under various conditions?",air pollutants emissions,mulch has a greater effect on reducing ammonia for maize (28.6%) than wheat (26.3%) and rice (20.4%).,NA,NA,NA,NA,"mulching reduced ammonia volatisation in wheat, maize and rice compared to no mulching.",NA
