fpid,type,text,footnotes
Landscape features,Definition of the farming practice7,"Field margins are narrow linear areas on agricultural field borders covered in permanent herbaceous vegetation, which are never intentionally fertilized, sprayed, or tilled.","Van Vooren et al., 2017. Ecosystem service delivery of agri-environment measures: a synthesis for hedgerows and grass strips on arable land. Agriculture, Ecosystems and Environment 244, 32-51"
Landscape features,Definition of the farming practice8,"Flower strips are small, often linear parts of arable fields that are intentionally sown by the farmers with non-productive flowering plants for biodiversity benefits",EIP-AGRI Focus Group. Benefits of landscape features for arable crop production. Final Report. 7 March 2016. https://ec.europa.eu/eip/agriculture/sites/default/files/eip-agri_fg_ecological-focus-areas_final-report_en.pdf
Landscape features,Definition of the farming practice9,Hedgerows are narrow linear areas on agricultural field borders covered in unfertilized perennial woody vegetation (shrubs and/or trees),EIP-AGRI Focus Group. Benefits of landscape features for arable crop production. Final Report. 7 March 2016. https://ec.europa.eu/eip/agriculture/sites/default/files/eip-agri_fg_ecological-focus-areas_final-report_en.pdf
Landscape features,Definition of the farming practice10,"Isolated trees are non-productive trees occurring dispersed / scattered in croplands and/or grasslands, typically as legacies of historical vegetation and land uses","Prevedello et al., 2018. The importance of scattered trees for biodiversity conservation: A global meta-analysis. Journal of Applied Ecology, 55,205-214"
Landscape features,Definition of the farming practice11,"Ponds are small surface depressions covered by water and possibly a narrow strip of wetland vegetation, embedded in an agricultural landscape","Chen et al., 2019. Farm ponds in southern China: Challenges and solutions for conserving a neglected wetland ecosystem. Science of The Total Environment, 659, 1322-1334"
Landscape features,Definition of the farming practice12,"Small wetlands are small transiently flooded surface depressions covered in wetland vegetation and embedded in an agricultural landscape. This class includes the remnants of historical wetland or freshwater ecosystems, and human-made ""constructed wetlands"" created for treating wastewaters or as a refuge for species","Vymazal, 2007. Removal of nutrients in various types of constructed wetlands. Science of Total Environment, 380(1-3), 48-65"
Landscape features,Definition of the farming practice13,"Stone walls are rocky vertical surfaces with a variety of typologies. These long-standing anthropogenic structures are used since prehistory as retaining walls and/or as field boundaries. The ages of stone walls has increased their likelihood of exposure to various biotic and abiotic factors, allowing for the establishment of peculiar communities","Manenti, 2014. Dry stone walls favour biodiversity: a case-study from the Appennines. Biodiversity and Conservation, 23, 1879-1893."
Landscape features,Definition of the farming practice14,"Terraces are anthropogenic structures on sloping terrains created to permit or facilitate cultivation and to reduce the risk of erosion. Terraces consist of one or more ""steps"" (steep sections covered permanent woody or grassy vegetation or stone walls) and ""land blocks"" (flat sections that are used for agricultural production, separated by the steps). The specific size, appearance, choice of construction material (i.e., earth, stone or brick), age, land use/vegetation cover of terracing may differ across biogeographical areas.","Wei et al., 2016. Global synthesis of the classifications, distributions, benefits and issues of terracing. Earth-Science Reviews, 159, 388-403"
Landscape features,Definition of the farming practice15,"Trees in group are small patchy areas of woody vegetation (including trees, shrubs and herbs) embedded in an agricultural landscape. They can range from ancient native woodland remnants, to new plantations of non-native species",NA
Landscape features,What does the definition of the FP include?1,"This review includes spatial and temporal comparisons between agricultural land (cropland or grassland) with and without landscape features embedded within the farm or with and without landscape features within the surrounding agricultural landscape. That is, studies at the landscape scale were only considered if the landscape surrounding the cropland or grassland has an agricultural use (e.g., no urban or forested landscapes were considered). Spatial comparisons were simultaneously conducted between nearby agricultural lands. Temporal comparisons were conducted in the same agricultural land before and after the establishment or creation of the landscape feature.",NA
Landscape features,What does the definition of the FP include?2,This review only includes impacts measured in the cropland or grassland with the landscape features embedded or in their surrounding agricultural landscape. The effect of landscape features in other land uses are not included.,NA
Landscape features,What does the definition of the FP exclude?1,"This review does not include studies in agroforestry nor in fallowing, which are assessed in separate sets of fiches.",NA
Leguminous crops,FP ID,Leguminous crops,NA
Leguminous crops,Definition of the farming practice1,"Leguminous crops -Fabaceae- develop symbiosis with bacteria within nodules in their root systems (rhizobia), producing reactive nitrogen compounds from N2, which help the plant to grow and compete with other plants. When the plant dies, the fixed nitrogen is released, making it available to other plants, this helps to fertilize the soil.",Postgate J (1998). Nitrogen Fixation (3rd ed.). Cambridge: Cambridge University Press.
Leguminous crops,Definition of the farming practice2,"The legume family include taxa such as kudzu, clover, soybean, alfalfa, lupin, peanut and rooibos.","Kuypers MM, Marchant HK, Kartal B (May 2018). ""The microbial nitrogen-cycling network"". Nature Reviews. Microbiology. 16 (5): 263-276. doi:10.1038/nrmicro.2018.9"
Leguminous crops,What does the definition of the FP include?1,"In this review, the use of Leguminous (nitrogen-fixing) crops in agriculture is considered within the context of different agricultural practices, including: 1) crop rotations involving legumes, 2) leguminous cover crops, 3) intercropping, mixed cropping, practices involving two or more crops in proximity Including legumes, 4) agroforestry systems including leguminous perennials, 5) green fallows including legumes, 6) grassland for leguminous forage production and pastures enriched with legumes.",NA
Leguminous crops,What does the definition of the FP include?2,"Results were derived from two types of pairwise comparisons: 1) direct comparison, where a farming practice with leguminous crops was compared to the same farming practice, but without leguminous crops, e.g. crop rotations with versus without legumes, leguminous versus non-leguminous cover crops, etc., 2) indirect comparison, where a farming practice (either with or without leguminous crops) was compared to the absence of the practice, e.g. Crop rotations (either with or without leguminous crops) versus monoculture, either leguminous or non-leguminous corver crops versus no cover crops, etc..",NA
Leguminous crops,What does the definition of the FP include?3,"Indirect comparisons are also shown in this set of fiches, because the available results reporting direct comparisons are scarse in the literature.",NA
Leguminous crops,What does the definition of the FP exclude?1,"This review does not include results obtained from meta-analyses which did not provide clear and well-specified distinctions of leguminous crops from other types of crops, e.g. The general effect of cover crops (either leguminous or non-leguminous).",NA
Leguminous crops,What does the definition of the FP exclude?2,"This review does not include results regarding crop yield or the environmental/climate impacts of leguminous cash crops (e.g. Soybean), as compared to non-leguminous cash crops (e.g. Cereals).",NA
Livestock feeding techniques,FP ID,Livestock feeding techniques,NA
Livestock feeding techniques,Definition of the farming practice1,"Livestock feeding techniques have been classified in three main categories of interventions used to improve animal feeding management and/or to reduce emissions to the environment, according to the classification reported in Arndt at al., 2022. The three main categories are:  1) Animal and feed management, 2) Diet formulation, 2) Rumen manipulation, each of which was then further classified into severals sub-categories.","Arndt et al. 2022. ""Full adoption of the most effective strategies to mitigate methane emissions by ruminants can help meet the 1.5 C target by 2030 but not 2050."" PNAS 119.20 (2022): e2111294119. https://www.pnas.org/doi/full/10.1073/pnas.2111294119"
Livestock feeding techniques,Definition of the farming practice2,"Animal and feed management is defined here as the feeding techniques applied at pasture and the processing of feed. Animal and feed management includes the sub-categories: feed processing, improving pasture management, increasing feeding level, increasing forage quality, total mixed ration versus grazing.",NA
Livestock feeding techniques,Definition of the farming practice3,"Diet manipulation is defined here as the feeding techniques related to the use of a specific feed material or the share of a specific component (es. forage). Diet formulation includes the sub-categories: use of by-products, decreasing forage to concentrate ratio, use of legume, low crude protein diet, minerals and salts, oils and fats, oilseeds, silages, tanniferous forages, urea.",NA
Livestock feeding techniques,Definition of the farming practice4,"Rumen manipulation is defined here as the feeding techniques related to the change in the rumen condition using additives, defaunation or electron sinks. Rumen manipulation includes the sub-categories: additives, defaunation and electron sinks. Additives includes several sub-categories, such as: acidifiers, aminoacids, biochar, biopolimers (chitosan), CH4 inhibitors (including 3-nitrooxypropanol and bromochloromethane), enzymes, ionophores (including monensis), organic acids, probiotics (bacteria and yeasts), seaweeds, secondary plant compounds (including essential oils, extracts, flavonoids, phenols, saponins and tannins). Electron sinks include as sub-categories fumaric acid and nitrate.",NA
Livestock feeding techniques,Definition of the farming practice5,"Please, note that this is not an exhaustive list of livestock feeding techniques but of those found in the meta-analysis literature that meet the requirements to be included in our review.",NA
Livestock feeding techniques,What does the definition of the FP include?1,"This review includes results on both in vitro and in vivo experiments. In vivo results come from experiments on several animal categories: dairy and beef cattle, buffalo, swine, poultry, sheep and goats. In many cases livestock type is reported as ruminants or small ruminants.",NA
Livestock feeding techniques,What does the definition of the FP include?2,This review includes only synthesis research papers where the comparisons between livestock feeding techniques and their corresponding controls come from the same field experiment. Studies based on meta-regressions were included only if a control and one or more treatments were clearly defined.,NA
Livestock feeding techniques,What does the definition of the FP exclude?1,"This review does not include techniques included in Arndt 2022 related to genetic selection, improving health, optimising temeperature since they are not related to feeding. Then, it does not include farming practices related to grazing intensity and grassland management (i.e. nitrogen fertilisation) since these are systematically analyses in other farming practices (Grazing management and grassland management).","Arndt et al. 2022. ""Full adoption of the most effective strategies to mitigate methane emissions by ruminants can help meet the 1.5 C target by 2030 but not 2050."" PNAS 119.20 (2022): e2111294119. https://www.pnas.org/doi/full/10.1073/pnas.2111294119"
Livestock feeding techniques,What does the definition of the FP exclude?2,This review does not include the impact of livestock feeding techniques on animal welfare and animal health.,NA
Livestock housing techniques,FP ID,Livestock housing techniques,NA
Livestock housing techniques,Definition of the farming practice1,Livestock housing techniques include several improved strategies mainly used to reduce emissions to the environment and to improve animal welfare.,NA
Livestock housing techniques,What does the definition of the FP include?1,This review includes:,NA
Livestock housing techniques,What does the definition of the FP include?2,"several techniques for livestock housing: floor type, in-house litter amendment with conditioners, additives or inhibitors, frequency of litter/manure removal, shading, space allowance, light management and ventilation. Please, note that this is not an exhaustive list of livestock housing techniques, but of those found in the synthesis papers that meet the requirements to be included in our review,",NA
Livestock housing techniques,What does the definition of the FP include?3,"results for several animal categories: beef cattle, swine, poultry, sheep and goose,",NA
Livestock housing techniques,What does the definition of the FP include?4,"only synthesis papers, where the comparisons between livestock housing techniques and their corresponding controls come from the same field experiment.",NA
Livestock housing techniques,What does the definition of the FP exclude?1,This review does not include:,NA
Livestock housing techniques,What does the definition of the FP exclude?2,studies on manure management outside the house or on livestock feeding. These practices are assessed in separate sets of fiches. ,NA
Livestock housing techniques,What does the definition of the FP exclude?3,the impact of livestock housing techniques on animal welfare. Animal welfare will be assessed in a separate set of fiches.,NA
Low ammonia emission techniques for mineral fertilisation,FP ID,Low-ammonia emission techniques for mineral fertilisation,NA
Low ammonia emission techniques for mineral fertilisation,Definition of the farming practice1,Low-ammonia-emission techniques for mineral fertilisation are fertilisation techniques used to reduce agricultural emissions of ammonia from mineral fertilisers.,NA
Low ammonia emission techniques for mineral fertilisation,What does the definition of the FP include?1,"Low-ammonia-emission techniques for mineral fertilisation include improved fertilisation techniques based on: 1) use of non-urea based fertilisers, 2) change in fertiliser placement: deep placement, 3) fertiliser time distribution: split application, 4) use of irrigation after fertilisation, 5) use of amendment with sorbents, 6) crop residue left on soil.",NA
Low ammonia emission techniques for mineral fertilisation,What does the definition of the FP exclude?1,"Low-ammonia-emission techniques for mineral fertilisation exclude strategies aimed at reducing ammonia emissions from organic fertilisers, livestock and manure management.",NA
Manure land application techniques,FP ID,Manure land application techniques,NA
Manure land application techniques,Definition of the farming practice1,Improved manure land application techniques are used to limit nutrients losses and emissions release during land application of manure (either solid or liquid manure fractions),NA
Manure land application techniques,What does the definition of the FP include?1,"Here, the main types of improved manure land application techniques considered are:  ",NA
Manure land application techniques,What does the definition of the FP include?2,"Liquid manure (shallow or deep) placement/injection or solid manure (e.g. poultry litter, cattle manure) immediate incorporation ",NA
Manure land application techniques,What does the definition of the FP include?3,Manure band application by trailing hoses or other equivalent systems ,NA
Manure land application techniques,What does the definition of the FP include?4,"Land application with additives (including mainly nitrification inhibitors, lava meal, biochar, superphosphate, sawdust) ",NA
Manure land application techniques,What does the definition of the FP include?5,"Land application of processed manure fractions (e.g. digestate, composted, solid fraction, liquid fraction, etc.) ",NA
Manure land application techniques,What does the definition of the FP include?6,Irrigation coupled to manure application ,NA
Manure land application techniques,What does the definition of the FP include?7,Avoid manure application to paddy rice fields. ,NA
Manure land application techniques,What does the definition of the FP include?8,"This list is not exhaustive, but covers the improved manure land application techniques found in the meta-analyses meeting the selection criteria of our review.",NA
Manure land application techniques,What does the definition of the FP exclude?1,"Note that the overall impacts of manure processing techniques (e.g. anaerobic digestion, improved composting, solid-liquid separation, etc.) are not considered here but addressed in another group of fiches (Manure processing techniques).",NA
Manure processing techniques,FP ID,Manure processing techniques,NA
Manure processing techniques,Definition of the farming practice1,"Manure processing techniques can be used to change manure chemical/physical properties and composition and thus increasing manure management efficiency as an amendment and fertiliser, while limiting emissions, as compared to untreated manure","AMEC - Environment & infrastructure UK limited, in partnership with BIO intelligence service. Collection and analysis of data for the control of emissions from the spreading of manure - Final report 2014 for The European Commission. Available at https://ec.europa.eu/environment/air/pdf/Final%20Report.pdf"
Manure processing techniques,What does the definition of the FP include?1,"In this review, manure processing techniques include: ",NA
Manure processing techniques,What does the definition of the FP include?2,"Composting of solid manure using improved techniques (e.g. turning, forced-air, bulking agents).  ",NA
Manure processing techniques,What does the definition of the FP include?3,"Anaerobic digestion of slurries. Here, the environmental impacts of anaerobic digestion of manure alone (i.e. mono-digestion) or with other substrates (i.e. co-digestion) are reviewed and are considered either as result of the overall processing chain (pre-storage, digesters, post-storage, land distribution, energy generation using biogas) or from single steps. ",NA
Manure processing techniques,What does the definition of the FP include?4,"Liquid manure storage in anaerobic lagoons or in aerobic lagoons, ",NA
Manure processing techniques,What does the definition of the FP include?5,"Solid manure storage in piles. Improved techniques for manure storage in static stockpiles (e.g. physical, chemical or microbial additives, etc.) are excluded here, and included in a separate set of fiches regarding 'Improved manure storage techniques'. ",NA
Manure processing techniques,What does the definition of the FP include?6,"Solid-liquid separation (e.g. decanter centrifuges, screw press, roller presses, decantation). The effects are considered by comparing either handling, storage or land application of the separated fractions, as compared to the raw manure. ",NA
Manure processing techniques,What does the definition of the FP include?7,Drying of solid fractions ,NA
Manure processing techniques,What does the definition of the FP include?8,"Recovery of nutrients through physical or chemical treatments (e.g. struvite precipitation, ammonia stripping) ",NA
Manure processing techniques,What does the definition of the FP include?9,Manure pasteurization ,NA
Manure processing techniques,What does the definition of the FP include?10,"Note that this is not an exhaustive list of manure processing techniques, but of those found in the literature that meet the requirements to be included in this review",NA
Manure storage techniques,FP ID,Manure storage techniques,NA
Manure storage techniques,Definition of the farming practice1,"Improved manure storage techniques are used to avoid nutrients losses and emissions release from manure storage facilities (storage tanks, solid manure heaps, etc.)","AMEC - Environment & infrastructure UK limited, in partnership with BIO intelligence service. Collection and analysis of data for the control of emissions from the spreading of manure - Final report 2014 for The European Commission. Available at https://ec.europa.eu/environment/air/pdf/Final%20Report.pdf"
Manure storage techniques,What does the definition of the FP include?1,This review includes the following improved manure storage techniques: ,NA
Manure storage techniques,What does the definition of the FP include?2,"Additives: Physical (e.g. zeolite, biochar, medical stone, grape seeds and physical mixtures), chemical (e.g. acidic substances, metal salts, phosphogypsum, Mg-P salts, Ca-superphosphate and chemical mixtures) or microbial (e.g. nitrite oxidizing bacteria, nitrogen turnover bacteria and other compound microbial agents). ",NA
Manure storage techniques,What does the definition of the FP include?3,"Covers of either solid or liquid manure storage facilities, including plastic membranes, floating biomass or inert materials, natural crusts. ",NA
Manure storage techniques,What does the definition of the FP include?4,Storage with biofilters (intercepting and treating air emissions from storage facilities). ,NA
Manure storage techniques,What does the definition of the FP include?5,Manure acidification during storage. ,NA
Manure storage techniques,What does the definition of the FP include?6,Manure cooling during storage. ,NA
Manure storage techniques,What does the definition of the FP include?7,Compaction of solid manure heaps. ,NA
Manure storage techniques,What does the definition of the FP include?8,Periodical cleaning of storage tanks ,NA
Manure storage techniques,What does the definition of the FP include?9,"Please, note that this is not an exhaustive list of improved manure storage techniques but of those found in the literature that meet the requirements to be included in our review. ",NA
Manure storage techniques,What does the definition of the FP exclude?1,"This review does not include techniques related to manure processing (e.g. anaerobic digestion, improved composting, solid-liquid separation, etc.), which are included in another group of fiches (Manure processing techniques). ",NA
Mulching,FP ID,Mulching,NA
Mulching,Definition of the farming practice1,Mulching consists on spreading various covering materials on the surface of soil mainly to minimize moisture losses and weed population and to enhance crop yield.,NA
Mulching,Definition of the farming practice2,The most common mulching materials used in commercial agricultural systems are plastic film and straw.,NA
Mulching,What does the definition of the FP include?1,"This review includes several techniques used for soil mulching. These techniques were classified in two main groups: 1) flat planting with mulching, 2) ridge and furrow planting with mulching.",NA
Mulching,What does the definition of the FP include?2,"Flat planting with mulching includes:? plastic film mulching (black and trasparent film mulching)?,straw mulching (straw or other stubbles)?, gravel mulching, mulching (several mulching materials aggregated) and biodegradable mulching? (rice bran, molecular film, vegetative film, starch-polyester mulch, paper-based mulch, other degradable film).",NA
Mulching,What does the definition of the FP include?3,"Ridge and furrow planting with mulching includes:? plastic-covered ridge coupled with furrow planting zone with bare soil?, plastic-covered ridge coupled with furrow planting zone with mulching (plastic or straw)?, not covered ridge coupled with furrow planting zone with mulching (plastic or straw).",NA
Mulching,What does the definition of the FP include?4,"Please, note that this is not an exhaustive list of all mulching techniques, but of those found in the synthesis papers that meet the requirements to be included in our review.",NA
Mulching,What does the definition of the FP exclude?1,"This review does not include mulching done with plants (also called living or biological mulching), since this practice is already covered by another set of fiches (cover and catch crops).",NA
Mulching,What does the definition of the FP exclude?2,This review does not include mulching done in other land use that is not agricultural land.,NA
No irrigation,FP ID,No irrigation,NA
No irrigation,Definition of the farming practice1,"No-irrigation corresponds to rainfed (or non-irrigated) agriculture, where the soil water available to plants comes mainly from rainfall.","Molden et al., 2007. Water for Food, Water for Life, Chapter 1, Setting the scene. ed. David Molden, Earthscan, London and International Water Management Colombo: Institute. Available at: https://www.iwmi.cgiar.org/assessment/Water%20for%20Food%20Water%20for%20Life/Chapters/Chapter%201%20Setting%20the%20Scene.pdf"
No irrigation,Definition of the farming practice2,"Non water-saving irrigation practices are standard techniques of irrigation that supply water to the crop in order to increasing crop productivity, with no intention of minimising water use. They rely on various techniques such as flooding or use of sprinklers.","European Parliamentary Research Service, 2019. Irrigation in EU agriculture. Available at:    https://www.europarl.europa.eu/RegData/etudes/BRIE/2019/644216/EPRS_BRI(2019)644216_EN.pdf"
No irrigation,Definition of the farming practice3,Water-saving irrigation practices aim to satisfy crop water requirements while improving the timing and reliability of water deliveries to minimize water use.,"FAO, 2017. Does improved irrigation technology save water? Available at: https://www.fao.org/3/I7090EN/i7090en.pdf"
No irrigation,What does the definition of the FP include?1,"In this review, no irrigation is compared to:",NA
No irrigation,What does the definition of the FP include?2,"non water-saving irrigation practices applied in non-flooded lands such as sprinkler irrigation, furrow irrigation, centre pivot irrigation, full or supplemental irrigation.",NA
No irrigation,What does the definition of the FP include?3,"non water-saving irrigation practices applied in flooded rice fields, corresponding to a continuous flooding throughout the rice growing season.","Climate and Clean Air Coalition, 2014. https://www.ccacoalition.org/en/activity/paddy-rice-production"
No irrigation,What does the definition of the FP include?4,"water-saving irrigation practices aiming to improve water use efficiency in non-flooded lands. Those included in this review were techniques based on reduced irrigation amounts or improved irrigation timing (i.e. irrigation in the over-wintering, jointing, and booting stages).",NA
No irrigation,What does the definition of the FP include?5,"any type of irrigation. In this review, two studies reported the impact of both non water-saving irrigation (e.g. sprinkler irrigation) and water-saving irrigation (e.g. drip irrigation) practices methods, without distinguishing the effects of each category of practices.",NA
No irrigation,What does the definition of the FP include?6,"Note that the list above is not exhaustive, but covers the practices found in the synthesis papers that meet the requirements to be included in our review.",NA
No irrigation,What does the definition of the FP exclude?1,"This review does not present the results of the comparisons between water-saving and non-water saving practices as these comparisons are presented in two separate set of fiches entitled ""Water-saving irrigation in flooded lands"" and ""Water-saving irrigation in non-flooded lands"".",NA
No irrigation,What does the definition of the FP exclude?2,This review does not include irrigation practices applied in non-agricultural land.,NA
No tillage and reduced tillage,FP ID,No tillage and reduced tillage,NA
No tillage and reduced tillage,Definition of the farming practice1,"Reduced tillage refers to methods involving low degrees of soil disturbance (e.g., minimum tillage, subsoil tillage, non-inversion, or shallow inversion).","Derpsch, R., Franzluebbers, A.J., Duiker, S.W., Reicosky, D.C., Koeller, K., Friedrich, T., Sturny, W.G., Sa, J.C.M., Weiss, K. (2014). Why do we need to standardize no-tillage research?. Soil and Tillage Research, 137, 16-22. doi:10.1016/j.still.2013.10.002"
No tillage and reduced tillage,Definition of the farming practice2,No-tillage (or zero tillage) is a minimum tillage practice in which the crop is sown directly into soil not tilled since the harvest of the previous crop.,"Environmental Indicators for Agriculture - Vol. 3: Methods and Results, OECD, 2001, glossary, pages 389-391."
No tillage and reduced tillage,Definition of the farming practice3,"Conservation agriculture is a special case of no-tillage systems where minimum soil disturbance is combined with crop rotation (i.e., alternation of different crops) and permanent soil cover (including crop residues, mulch, and live mulch).",https://www.fao.org/conservation-agriculture/overview/conservation-agriculture-principles/en/
No tillage and reduced tillage,Definition of the farming practice4,"Conventional tillage in arable land involves soil inversion. It includes high-disturbance tillage practices, such as deep tillage, inversion tillage, mouldboard plough, disc plough.",https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Conventional_tillage
No tillage and reduced tillage,What does the definition of the FP include?1,"This review aims to analyse the impacts of reduced tillage and no-tillage, separately, compared to conventional tillage. The impact of conservation agriculture, considered as a special case of no tillage, is also reported in this review.",NA
No tillage and reduced tillage,What does the definition of the FP include?2,"The review also includes comparisons between no-tillage or reduced tillage combined with either permanent soil cover or crop rotation, and conventional tillage.",NA
No tillage and reduced tillage,What does the definition of the FP exclude?1,"Studies including various no-tillage and reduced tillage systems (sometimes defined as conservation tillage[6]) are excluded from this review, as the effects reported in the papers cannot be distinguished.",https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Conservational_tillage
Organic farming systems,FP ID,Organic farming systems,NA
Organic farming systems,Definition of the farming practice1,"Organic production is an overall system of farm management and food production that combines best environmental and climate action practices, a high level of biodiversity, the preservation of natural resources and the application of high animal welfare standards and high production standards in line with the demand of a growing number of consumers for products produced using natural substances and processes", https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32018R0848&from=EN
Organic farming systems,What does the definition of the FP include?1,"Organic farming systems are production systems which avoid or largely exclude the use of synthetically compounded fertilizers, pesticides, growth regulators and livestock feed additives 3.Unlike the other farming practices, discussed in the other fiches, organic systems do not consist of a single practice, but of a combination of several ""elementary"" farming practices, which need to be respected together. Organic systems are defined by the REGULATION (EU) 2018/848",https://doi.org/10.1016/B0-12-227050-9/00235-0 and https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/organic-farming-system
Organic farming systems,What does the definition of the FP include?2,"To the maximum extent feasible, organic systems (significantly more frequently than conventional farming according to a recent meta-analysis by Alvarez, 2021 5) rely on crop rotations, multicropping, crop residues retention, no/minimum tillage, animal manures, green manures, off-farm organic wastes and aspects of biological pest control to maintain soil productivity and tilth, to supply plant nutrients and to control insects, weeds and other pests",https://doi.org/ 10.1080/03650340.2021.1946040  
Organic farming systems,What does the definition of the FP include?3,This review compares the impacts of organic and conventional farming systems. The following types of results are included:,NA
Organic farming systems,What does the definition of the FP include?4,"Results of field experiments designed by researchers, comparing plots under organic and conventional management. ",NA
Organic farming systems,What does the definition of the FP include?5,"Results of field data or farm-scale surveys on organic and conventional systems, designed and managed by farmers. ",NA
Organic farming systems,What does the definition of the FP include?6,"Results of life-cycle assessments, typically considering a cradle-to-farmgate model.  ",NA
Organic farming systems,What does the definition of the FP include?7,Results were grouped into two categories:  ,NA
Organic farming systems,What does the definition of the FP include?8,"Organic cropping systems (including all different types of organic systems), excluding results reported specifically on livestock production. ",NA
Organic farming systems,What does the definition of the FP include?9,"Organic livestock systems, reports specific results where livestock production is the focus, including farms with forage/fodder production dedicated to in-farm livestock production and mixed farming systems (co-production of cash crops and forage/fodder/livestock in the same farm). ",NA
Organic farming systems,What does the definition of the FP include?10,"In all reviewed synthesis papers, results are expressed in two different units: ",NA
Organic farming systems,What does the definition of the FP include?11,"per unit of cultivated area (e.g., per ha)  ",NA
Organic farming systems,What does the definition of the FP include?12,"per unit of product (e.g., per kg of grain).  ",NA
Organic farming systems,What does the definition of the FP include?13,"Since organic systems generally result in lower yields than conventional systems, the effects per unit of product may be different to those per unit of area. Consequently, where available, both types of results are reported in this review",NA
Organic fertilisation,FP ID,Organic fertilisation,NA
Organic fertilisation,Definition of the farming practice1,"Organic fertilisation is the application to soils of plant or animal-derived materials containing organic forms of nutrients that microorganisms in the soil decompose, making them available for use by plants.",Food and Agriculture Organization of the United Nations. 2009. Glossary on Organic Agriculture (http://www.fao.org/organicag/en/).
Organic fertilisation,What does the definition of the FP include?1,"This review includes the application of organic fertilisers from different animal (cattle, pig, sheep, poultry, earthworms), plant and mixed (municipal and agro-industrial waste) sources used both as composted and non-composted manures. ",NA
Organic fertilisation,What does the definition of the FP include?2,"When organic fertilisation was combined with mineral fertilisation and compared to mineral fertilisation, we only included results in which: i) the intervention and the comparator had the same mineral fertilisation strategy, ii) the organic fertilisation partially substituted the mineral fertilisation in the intervention. Since organic fertilisation alone did not show different qualitative effects than organic fertilisation combined with organic fertilisation, we pooled both types of interventions as ""organic fertilisation"".",NA
Organic fertilisation,What does the definition of the FP exclude?1,"Green manure (the use of a cover crop to fertilise the soil for the following crop) and crop residues were excluded, as their impacts are assessed in separate sets of fiches.",NA
Peatland conservation and restoration,FP ID,Peatland conservation and restoration,NA
Peatland conservation and restoration,Definition of the farming practice1,A peatland is a type of wetland with a naturally accumulated layer of peat at the surface due to organic matter production exceeding decomposition.,"Joosten, H & Clarke, D. 2002: Wise use of mires and peatlands: Background and principles including a framework for decision making. IMCG/IPS."
Peatland conservation and restoration,Definition of the farming practice2,"Peatlands are generally classified as bogs and fens. Bogs are fed mainly by rain and snow, while fens develop in landscape depressions and are fed with surface and/or ground water. Other names referring to peatlands found in this review are swamp, and wet heath, though the search string included more synonyms (see section 4). Carbon-rich soils are included in this definition. These soils have an organic layer usually with >15 % of organic matter. However, the synthesis papers included in this review do not clearly define what they consider carbon-rich soils and thus we rely on their knowledge and criteria to include individual studies in their reviews.",NA
Peatland conservation and restoration,Definition of the farming practice3,This review includes interventions in peatlands related to:,NA
Peatland conservation and restoration,Definition of the farming practice4,"Conservation refers to the preservation (i.e., no transformation to other land uses) of natural non-disturbed peatlands compared to either degraded or restored peatlands. The degraded peatlands found in this review are mainly affected by alterations in their water regime due to drainage and/or conversion to cropland or pasture. The restored peatlands found in this review have been subject to different interventions including the re-establishment of peatland vegetation, water supplementation or passive restoration by abandonment of agricultural use.",NA
Peatland conservation and restoration,Definition of the farming practice5,"Restoration methods found in this review are classified into two main classes: management of water regime and a general class with several restoration methods pooled together.  Restoration by managing water regime refers to re-allocating a part of the natural water regime back to these soils/ecosystems, resulting in the full or partial recovery of water inputs and inundation by removing draining, ditching, precipitation exclusion, flooding, dams or groundwater extraction. When different restoration methods are analysed together in the reviewed synthesis papers, we report them as several restoration methods pooled together. This pool includes active revegetation, full or partial recovery of water inputs and passive restoration by cessation of human disturbance (i.e., agricultural abandonment and prohibited grazing).",NA
Peatland conservation and restoration,What does the definition of the FP include?1,The estimation of peatland conservation impacts is based on the spatial comparison between preserved natural peatlands (intervention) and nearby degraded or restored peatlands (comparator).,NA
Peatland conservation and restoration,What does the definition of the FP include?2,The estimation of peatland restoration impacts is based on the spatial and temporal comparisons between restored peatlands (intervention) and degraded peatlands (comparator). Spatial comparisons are those conducted simultaneously between restored peatlands and nearby degraded peatlands. Temporal comparisons are those conducted in the same peatland before and after restoration.,NA
Peatland conservation and restoration,What does the definition of the FP exclude?1,"This review does not include other management practices conducted in peatlands such as burning, grazing, fertilisation, or low-intensity farming, which are assessed in separate sets of fiches (i.e., peatland management).",NA
Peatland management,FP ID,Peatland management,NA
Peatland management,Definition of the farming practice1,A peatland is a type of wetland with a naturally accumulated layer of peat at the surface due to organic matter production exceeding decomposition.,"Joosten, H & Clarke, D. 2002: Wise use of mires and peatlands: Background and principles including a framework for decision making. IMCG/IPS."
