type,subtype,theme,subtheme,practice,subpractice,subpractice_description,Notes,Source,agroecological principle
Crop management,Diversification (temporal),Monoculture,Monoculture,Monoculture,Double Cropping (Monocrop),A double cropping system where the same crop is planted more than once and sequentially within the same growing season.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Monoculture,Monoculture,Monoculture,Monoculture,A single crop is grown in the experimental plot and is invariant over time.,This is the control for an intercropping experiment. Crop varieties may change.,ERA (added here by AS),5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (temporal),Monoculture,Monoculture,Monoculture,Monoculture,A single crop is grown in the experimental plot and is invariant over time.,This is the control for an crop rotation experiment. Crop varieties may change.,ERA (added here by AS),5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (temporal),Simple Crop Rotation,Simple Crop Rotation,Simple Crop Rotation,Simple Crop Rotation,Control for improved rotations.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Simple intercropping,Simple intercropping,Simple intercropping,Simple Intercrop,Control for improved intercropping.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Postharvest method,Improved Storage,NA,Improved Storage,Improved Chemical Storage,Using naturally derived or manufactured chemicals such as pesticides or preservatives improve storage. This could include adding actellic dust or fungicide to maize bags or fumigation of stores.,NA,ERA,NA
Crop management,Postharvest method,Improved Preservation,NA,Improved Preservation,Improved Drying,Changing the manner in which crops are dried.,NA,ERA,NA
Crop management,Postharvest method,Improved Storage,NA,Improved Storage,Improved Physical Storage,"Improving the way food stuffs are stored such as Purdue improved crop storage (PICS) bags, use of granaries or improvements to granaries.",NA,ERA,NA
Crop management,Postharvest method,Improved Preservation,NA,Improved Preservation,Uimproved Drying Technique,No or an unimproved drying technique is used to preserve food for storage.,Control for Improved Improved Drying.,ERA,NA
Crop management,Postharvest method,Unimproved Preservation,NA,Unimproved Preservation,Unimprove or No Preservation Technique,Typically no method is used to preserve stored foods or the method is considered to be unimproved.,Control for Improved Chemical Storage.,ERA,NA
Crop management,Postharvest method,Unimproved Storage,NA,Unimproved Storage,Unimproved Storage Structure,"Storing feeds/seeds in an unimproved manner, such as a traditional granary or storeroom.",Control for Improved Physical Storage.,ERA,NA
Crop management,Genetic improvement,Variety improvement,NA,Drought Tolerance,Drought Tolerance,An improved crop variety bred for potential resistance to drought.,NA,ERA,NA
Crop management,Genetic improvement,Variety improvement,NA,Heat Tolerance,Heat Tolerance,An improved crop variety bred for potential resistance to heat.,NA,ERA,NA
Crop management,Genetic improvement,Variety improvement,NA,Improved variety,Improved Seeds,"An improved crop variety bred for a specific quality other than drought, heat or salinity resistance (e.g. early maturity/short season or improved yields).",NA,ERA,NA
Crop management,Genetic improvement,Variety improvement,NA,Salinity Tolerance,Salinity Tolerance,An improved crop variety bred for potential resistance to salinity.,NA,ERA,NA
Crop management,Genetic improvement,Variety improvement,NA,Improved variety,Improved Variety (Trait Unknown),NA,NA,NA,NA
Crop management,Genetic improvement,Variety improvement,NA,Improved variety,Improved Variety (Traits Known),NA,NA,NA,NA
Crop management,Genetic improvement,Variety improvement,NA,Early Maturity/Short Season Variety,Early Maturity/Short Season Variety,NA,NA,NA,NA
Crop management,Genetic improvement,Unspecified variety,NA,Unspecified variety,Unspecified Variety,NA,NA,NA,NA
Crop management,Genetic improvement,Unimproved variety,Unimproved variety,Unimproved Variety,Unimproved Variety,"A crop variety that has not been improved through intensive crop breeding, for example a farmer's or local variety, or a landrace.",NA,ERA,NA
Crop management,Genetic variation,NA,NA,Intraspecific genetic variation,Single variety (pure stand),"Only one cultivar is planted, creating a genetically uniform crop stand.",NA,NA,NA
Crop management,Genetic variation,NA,NA,Intraspecific genetic variation,Varietal mixture,Varietal mixing is an agricultural practice that consists of sowing a heterogeneous mixture of varieties of the same species in the same plot. ,NA,"AS (https://dicoagroecologie.fr/en/dictionnaire/varietal-mixture/#:~:text=One%20way%20of%20curbing%20the,prospects%20that%20require%20futher%20exploration.)",NA
Crop management,Planting method,NA,NA,Planting arrangement,Control planting arrangement,An non-optimized planting arrangement that can be compared to a control treatment.,NA,AS based on ERA looup_levels$P.Prac.Pracs,NA
Crop management,Planting method,NA,NA,Planting,Control planting information,A control where decisions are made without the use of any improved or new decision support tools or techniques.,NA,AS based on ERA looup_levels$P.Info.Pracs,NA
Crop management,Planting method,NA,NA,Planting,Improved planting information,Planting decisions are made using an improved or new decision support tool or technique.,NA,AS based on ERA looup_levels$P.Info.Pracs,NA
Crop management,Planting method,NA,NA,Planting,Optimized planting arrangement,Planting arrangement is optimized compared to a control treatment.,NA,AS based on ERA looup_levels$P.Prac.Pracs,NA
Crop management,Planting method,NA,NA,Transplanting,Transplanting,NA,NA,NA,NA
Crop management,Harvesting method,NA,NA,Harvest Technique,Harvest Technique,"Changing the manner in which crops are harvested, for example using a new tool.",NA,ERA,NA
Crop management,Harvesting method,NA,NA,Harvesting Timing,Harvesting Timing,"Changing the time when crops are harvested, for example moving to piecemeal harvesting from all-at-once or havesting in the morning compared to the heat of the day.",NA,ERA,NA
Crop management,Harvesting method,NA,NA,Traditional harvesting method,Traditional harvesting method,Harvesting at usual times or with usual tools.,Control for improved/changed harvesting technique and/or timing.,ERA,NA
Landscape management,Diversification (spatial),Agroforestry,Agroforestry (high diversity),Agroforestry (high diversity),Agroforestry (high diversity),Relatively biodiverse agroforestry system (higher number of species),NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Shade management,Agroforestry,NA,Agroforestry (high shaded),Agroforestry (high shaded),NA,NA,BIOFincas,NA
Landscape management,Shade management,Agroforestry,NA,Agroforestry (high shaded),No pruning,NA,NA,NA,NA
Landscape management,Shade management,Agroforestry,NA,Agroforestry (high shaded),Shade Monoculture (high shade),Relatively more shaded agroforestry system (higher shade coverage),NA,BIOFincas,NA
Landscape management,Diversification (spatial),Agroforestry,Agroforestry (low diversity),Agroforestry (low diversity),Agroforestry (low diversity),Relatively simplified agroforestry system (lower number of species) (control of agroforestry - High diversity),NA,BIOFincas,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Shade management,Agroforestry,NA,Agroforestry (low shaded),Agroforestry (low shaded),NA,NA,BIOFincas,NA
Landscape management,Shade management,Agroforestry,NA,Agroforestry (low shaded),Severe pruning,NA,NA,NA,NA
Landscape management,Shade management,Agroforestry,NA,Agroforestry (low shaded),Shade Monoculture (low shade),Relatively less shaded agroforestry system (lower shade coverage),NA,BIOFincas,NA
Landscape management,Shade management,Agroforestry,NA,Agroforestry (moderate shaded),Agroforestry (moderate shaded),NA,NA,BIOFincas,NA
Landscape management,Shade management,Agroforestry,NA,Agroforestry (moderate shaded),Moderate pruning,NA,NA,NA,NA
Landscape management,Shade management,Agroforestry,NA,Agroforestry (moderate shaded),Shade Monoculture (moderate shade),NA,NA,BIOFincas,NA
Landscape management,Diversification (spatial temporal),Improved Fallow,Woody Fallow,Woody Fallow (N fixing),Agroforestry Fallow (N fixing),Planting fallows with short-rotation woody or perennial species that fix nitrogen.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial temporal),Improved Fallow,Woody Fallow,Woody Fallow (N fixing),Agroforestry Fallow (N fixing) (>=1yr),Planting fallows with rotation woody or perennial species that fix nitrogen for more than one year,NA,NA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial temporal),Improved Fallow,Woody Fallow,Woody Fallow (N fixing),Agroforestry Fallow (N fixing) (>=6months),Planting fallows with rotation woody or perennial species that fix nitrogen for more than six months,NA,NA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial temporal),Improved Fallow,Woody Fallow,Woody Fallow (Non N fixing),Agroforestry Fallow (Non N fixing),Planting fallows with short-rotation woody or perennial species that do not fix nitrogen.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial temporal),Improved Fallow,Woody Fallow,Woody Fallow (Unespecified),Agroforestry Fallow (Unspecified),Planting fallows with short-rotation woody or perennial species of an unknown type.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),Agroforestry,Alleycropping,Alleycropping,Alleycropping (N fixing and Non N fixing),Intercropping with rows or alleys of a mixture of trees or woody shrubs of which some but not all fix nitrogen.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),Agroforestry,Alleycropping,Alleycropping,Alleycropping (N fixing),Intercropping with rows or alleys of nitrogen fixing trees or woody shrubs.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),Agroforestry,Alleycropping,Alleycropping,Alleycropping (Non N fixing),Intercropping with rows or alleys of trees or woody shrubs that do not fix nitrogen.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),Agroforestry,Alleycropping,Alleycropping,Alleycropping (Unspecified),Intercropping with rows or alleys of trees or woody shrubs where no information about the type of plant is given.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),Agroforestry,Boundary Planting,Boundary Planting,Living Fences or Hedgerows,Living fence and hedges are planted in rows around the edge of the field to reduce the effect of wind or runoff on crops.,"Note some early agroforestry papers named alleycropping 'hedgerows', but any form of hedge intercropped within a field should be categorized as alleycropping.",ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),Agroforestry,Boundary Planting,Boundary Planting,Tree Windbreak,Barriers of trees or shrubs planted along field boundaries to protect plants against wind.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),No Boundary Planting,No Boundary Planting,No Boundary Planting,No Living Fences or Hedgerows or Tree Windbreak,NA,NA,NA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),Agroforestry,FMNR,FMNR,Farmer Managed Natural Regeneration,"Systematic regrowth of trees or shrubs on agricultural, forest or pasture land. FMNR is used in areas where there are stumps that can coppice or seeds that can germinate. Sometimes called farmer assisted regeneration.",Typically defined as FMNR or farmer assisted regeneration by author in text.,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),Agroforestry,Homegarden,Homegarden,Homegarden,"A homegarden is a small-scale, traditional land-use system located near a residence, typically managed by family members for subsistence or supplementary income. These, usually under 1-hectare, systems feature high biodiversity, combining annual/perennial crops, trees, and often livestock in multi-story structures that resemble natural ecosystems.",NA,AS,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),Monoculture,Monoculture,Monoculture,Monoculture,A single crop is grown in the experimental plot and is invariant over time.,This is the control for an intercropping experiment. Crop varieties may change.,ERA (added here by AS),5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial temporal),Agroforestry,Monoculture,Monoculture,Monoculture,A single crop is grown in the experimental plot and is invariant over time.,NA,ERA (added here by AS),5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Shade management,Agroforestry,Monoculture,Monoculture,Monoculture,A single crop is grown in the experimental plot and is invariant over time.,NA,ERA (added here by AS),NA
Landscape management,Diversification (spatial),Agroforestry,Multistrata Agroforestry,Multistrata Agroforestry,Multistrata Agroforestry,"Multistorey systems agroforestry systems have several spatial strata occupied by different tree (i.e. woody) crops (coffee, tea, cacao, banana etc).","Typically identified as multistrata in the document text. 
- include two or more vegetation layers and more than one tree species 
- multiple tree crop species and crops (N-fixing legume cover crops)",ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),Agroforestry,Other Agroforestry,Other Agroforestry,Other Agroforestry,Agroforestry practice that does not meet definitions in Agroforestry practice theme.,Please notify ERA team if you use this code.,BIOFincas,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),Agroforestry,Parklands,Parklands,Parklands,Intercropping under scattered or regularly planted trees.,Typically named parklands in the document text. Difference with scattered trees is unclear.,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),Agroforestry,Parklands,Parklands,Scattered Trees,"Unspecified sparse or scattered trees incorporated into croplands, pastures or rangelands.","Difference with Parklands is unclear, other than parklands is not mentioned in the definition.",ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (spatial),Timber plantation,Timber plantation,Timber plantation,Timber plantation,The cultivation of tree species for use as timber,NA,BIOFincas,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Shade management,Agroforestry,NA,Unshaded,Unshaded,NA,NA,BIOFincas,NA
Landscape management,Diversification (components),Integrated farming,Silvopasture,Agrosilvopasture,Agrosilvopastoral System,Combination of livestock production systems (pastures) with trees or shrubs and crops.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (components),Integrated farming,NA,Aquasilviculture,Aquasilviculture,"An aquaculture practice in combination with a sylviculture practice in close spatial proximity. The classic example of this practice is fish or crustacean farming in mangroves, to conserve or restore mangrove trees and produce food.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (components),Integrated farming,NA,Integrated crop fish farming,Integrated crop fish farming,"Co-culture of crops and aquatic animals. Aquatic animals can improve soil quality, reducing insect pests.",NA,BIOFincas,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (components),Integrated farming,NA,Integrated crop fish livestock farming,Integrated crop fish livestock farming,NA,NA,AS,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (components),Integrated farming,NA,Integrated crop livestock,Integrated crop livestock,"Farm combining crop production and livestock rearing.(description used in Ekroos et al. 2010, pdf 438)",NA,BIOFincas,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (components),Integrated farming,Monoculture,Monoculture,Monoculture,A single crop is grown in the experimental plot and is invariant over time.,NA,ERA (added here by AS),5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (components),Integrated farming,Open pasture,Open pasture,Open pasture,Pasture-based system without trees,NA,NA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Diversification (components),Integrated farming,Silvopasture,Silvopasture,Silvopasture,Combination of trees or shrubs with pasture (forage grasses) and livestock,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Landscape management,Landscape structure,NA,NA,NA,Buffer strips,"A strip of living trees and/or shrubs maintained mainly to provide shelter or to mitigate the impacts of actions on adjacent lands, to enhance aesthetic values, or as a best management practice. (FAO, 2010. Pollination Glossary, CSCM,.) Buffer strips are smaller-scale, targeted interventions used to address specific environmental concerns like water quality, soil erosion, or habitat creation.",NA,NA,NA
Landscape management,Landscape structure,NA,NA,NA,Field margins,NA,NA,NA,NA
Landscape management,Landscape structure,NA,NA,NA,Flower strips,Flower strips are semi-natural habitats made up of mixtures of native or exotic herbaceous species.,NA,NA,NA
Landscape management,Landscape structure,NA,NA,NA,Within field strip,NA,NA,NA,NA
Natural/seminatural habitats management,NA,NA,Forest,Primary forest,Forest (pristine/primary/unmanaged),Forests maintained as reserves for wildlife or other conservation purposes (Perfecto et al 2003 ref 132),NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,Forest,Primary forest,Tropical deciduous forest,NA,NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,Forest,Secondary forest,Secondary Forest,NA,NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,NA,NA,Abandoned cropland,"Abandoned cropland left to rewild, with no mention of any intention to refarm the land",NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,Forest,NA,Forest (condition/management unspecified),"Vegetation made up of four growth forms known as restoids (reed-like plants), ericoids (heath-like shrubs), geophytes (bulbous herbs) and sclerophyllous proteiods (tall shrubs with large leaves) (Cowling and Richardson, 1995).",NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,Forest,NA,Forest (disturbed/managed),"Unmanaged forests, which can include primary or secondary tree growth",NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,NA,NA,Fynbos,NA,NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,Grassland,NA,Grassland (natural),NA,NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,Grassland,NA,Grassland (semi natural),NA,NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,Grassland,NA,Grassland (unknown if natural/semi-natural),NA,NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,NA,NA,Remnant,Land with natural vegetation on or off-farm set aside (not used for farming) for biodiversity or other environmental purposes (it could be also that is inaccessible or inappropriate for ag).,NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,NA,NA,Secondary Succesional Habitat,NA,NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,Forest,NA,Semi natural forest,Forest of native or wild tree species mixed with some non-native or planted species,NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,NA,NA,Shrubland,NA,NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,NA,NA,Wetlands,NA,NA,BIOFincas,NA
Natural/seminatural habitats management,NA,NA,NA,NA,Woodland,NA,NA,BIOFincas,NA
Nutrient management,Fertilization,External input dependency,Inorganic management,Inorganic and Organic Fertilizers,Inorganic and Organic Fertilizers,NA,NA,AS,2_input_reduction
Nutrient management,Fertilization,External input dependency,Inorganic management,Inorganic Fertilizer,Inorganic Fertilizer,Synthetic fertilizers added,NA,AS,2_input_reduction
Nutrient management,Fertilization,External input dependency,Inorganic management,Inorganic Fertilizer,Inorganic K Inputs,"The addition of potassium (K) inorganic inputs to fields, typically to test application timing or amount.",NA,ERA,2_input_reduction
Nutrient management,Fertilization,External input dependency,Inorganic management,Inorganic Fertilizer,Inorganic Micronutrients Inputs,"The addition of micronutrients such as Fe, B, Cu, Mo, Zn, Mn, Cl, Ni, or Si typically to test application timing or amount.",NA,ERA,2_input_reduction
Nutrient management,Fertilization,External input dependency,Inorganic management,Inorganic Fertilizer,Inorganic N Inputs,"The addition of nitrogen (N) inorganic inputs to fields, typically to test application timing or amount.",NA,ERA,2_input_reduction
Nutrient management,Fertilization,External input dependency,Inorganic management,Inorganic Fertilizer,Inorganic P Inputs,"The addition of phosphorous (P) inorganic inputs to fields, typically to test application timing or amount.",NA,ERA,2_input_reduction
Nutrient management,Fertilization,External input dependency,Inorganic management,Inorganic Fertilizer,Micro dosing,The technology is based on the application of small doses of fertilizer ,NA,AS,2_input_reduction
Nutrient management,Fertilization,External input dependency,Inorganic management,Inorganic Fertilizer,Urea,"The addition of urea (a source of nitrogen) to fields, typically to test application timing or amount.",NA,ERA,2_input_reduction
Nutrient management,Fertilization,External input dependency,Inorganic management,Inorganic Fertilizer Control,Conventional input (fertilizer) use,Addition of fertilizer without any specific measurement,NA,ERA,2_input_reduction
Nutrient management,Fertilization,External input dependency,Inorganic management,Inorganic Fertilizer Control,Recommend rate of fertilizer,Addition of recommended amount of fertilizer following soil tests. This is to be used when the papers specifically says the recommended rates.,NA,ERA,2_input_reduction
Nutrient management,Fertilization,Input reduction,Inorganic management,Inorganic Fertilizer Reduction,Inorganic K Reduction,The reduction of potassium (K) inorganic inputs relative to a control practice.,"This practice is not available in the ERA data entry process, it added by comparison logic.",ERA,2_input_reduction
Nutrient management,Fertilization,Input reduction,Inorganic management,Inorganic Fertilizer Reduction,Inorganic N Reduction,The reduction of nitrogen (N) inorganic inputs relative to a control practice.,"This practice is not available in the ERA data entry process, it added by comparison logic.",ERA,2_input_reduction
Nutrient management,Fertilization,Input reduction,Inorganic management,Inorganic Fertilizer Reduction,Inorganic P Reduction,The reduction of phosphorous (P) inorganic inputs relative to a control practice.,"This practice is not available in the ERA data entry process, it added by comparison logic.",ERA,2_input_reduction
Nutrient management,Fertilization,No Fertilizers Applied,Organic management,No Fertilizers Applied,No Fertilizers Applied,No inputs of inorganic or organic fertilizer.,A control for fertilizers addition treatments.,ERA,2_input_reduction
Nutrient management,Fertilization,Input substitution,Organic management,Organic Fertilizer,Ash,Application of plant ash to fields.,NA,ERA,2_input_reduction
Nutrient management,Fertilization,Input substitution,Organic management,Organic Fertilizer,Biosolids,"Biosolids are treated and processed sewage sludge applied to fields as a fertilizer. Biosolids do not include industrial waste products, e.g. sugar production waste, ethanol production waste.",NA,ERA,2_input_reduction
Nutrient management,Fertilization,Input substitution,Organic management,Organic Fertilizer,Compost,"Application of composted plant material to the field, typically to test application timing or amount. Composts are organic materials which have been piled, moistened, and allowed to undergo biological decomposition","Typically identified by author. Include composted manures under the Manure practice, not here.",ERA,2_input_reduction
Nutrient management,Fertilization,Input substitution,Organic management,Organic Fertilizer,Kraaling or Parcage,A south and west African method of housing animals at night in crop fields to produce manure.,NA,ERA,2_input_reduction
Nutrient management,Fertilization,Input substitution,Organic management,Organic Fertilizer,Manure,"Application of animal manure to the field, typically to test application timing or amount. This does not include biosolids such as sewage which have their own practice codes.",Include composted manures here.,ERA,2_input_reduction
Nutrient management,Fertilization,Input substitution,Organic management,Organic Fertilizer,Organic (Other),An organic input that does not match any other category in ERA.,Please notify ERA team if you use this code.,ERA,2_input_reduction
Nutrient management,Fertilization,Input substitution,Organic management,Organic Fertilizer substitution,Biosolids Substitution,"Compared to a control practice that does not apply biosolids and does apply inorganic fertilizers, this practice shows reduced, but not eliminated, inorganic fertilizer use (N, P, and/or K) and application of biosolids to the field. This represents partial substitution of inorganic inputs with organic inputs. Biosolids are treated and processed sewage sludge applied to fields as a fertilizer. Biosolids do not include industrial waste products, e.g. sugar production waste, ethanol production waste.","This practice is not available in the ERA data entry process, it added by comparison logic.",ERA,2_input_reduction
Nutrient management,Fertilization,Input substitution,Organic management,Organic Fertilizer substitution,Compost Substitution,"Compared to a control practice that does not apply compost and does apply inorganic fertilizers, this practice shows reduced, but not eliminated, inorganic fertilizer use (N, P, and/or K) and application of composted plant material to the field. This represents partial substitution of inorganic inputs with organic inputs. Composts are organic materials which have been piled, moistened, and allowed to undergo biological decomposition.","This practice is not available in the ERA data entry process, it added by comparison logic.",ERA,2_input_reduction
Nutrient management,Fertilization,Input substitution,Organic management,Organic Fertilizer substitution,Kraaling or Parcage Substitution,"Compared to a control practice that does not use kraaling and does apply inorganic fertilizers, this practice shows reduced, but not eliminated, inorganic fertilizer use (N, P, and/or K) and use of kraaling. This represents partial substitution of inorganic inputs with organic inputs. Kraaling is a south and west African method of housing animals at night in crop fields to produce manure.","This practice is not available in the ERA data entry process, it added by comparison logic.",ERA,2_input_reduction
Nutrient management,Fertilization,Input substitution,Organic management,Organic Fertilizer substitution,Manure Substitution,"Compared to a control practice that does not apply animal manures and does apply inorganic fertilizers, this practice shows reduced, but not eliminated, inorganic fertilizer use (N, P, and/or K) and application of animal manures to the field. This represents partial substitution of inorganic inputs with organic inputs. This does not include biosolids such as sewage which have their own practice codes.","This practice is not available in the ERA data entry process, it added by comparison logic.",ERA,2_input_reduction
Nutrient management,Fertilization,Input substitution,Organic management,Organic Fertilizer substitution,Organic (Other) Substitution,"An organic input that does not match any other category in ERA. Compared to a control practice that does not use this other organic input and does apply inorganic fertilizers, this practice shows reduced, but not eliminated, inorganic fertilizer use (N, P, and/or K) and use of this other organic input. This represents partial substitution of inorganic inputs with organic inputs.","This practice is not available in the ERA data entry process, it added by comparison logic.",ERA,2_input_reduction
Nutrient management,Fertilization,Unspecified,Unspecified,Unspecified,Unspecified (if  fertilizer org or inorg was applied),Unspecified if fertilization (organic or inorganic) was applied,NA,NA,2_input_reduction
Nutrient management,Fertilization,Input substitution,Organic management,Organic management,Organic certified,NA,NA,NA,2_input_reduction
Pest management,Pest management in plants,Fungi control,No Chemical Applied,No Chemical Applied,No Fungicide Applied,NA,NA,NA,2_input_reduction
Pest management,Pest management in plants,Fungi control,Biochemical control,Non-synthetic pesticide,Biofungicide,NA,NA,AS based on ERA 01_chemicals$C.Type,2_input_reduction
Pest management,Pest management in plants,Fungi control,Chemical control,Synthetic pesticide,Fungicide,NA,NA,AS based on ERA 01_chemicals$C.Type,2_input_reduction
Pest management,Pest management in plants,No Inoculation,NA,No Inoculation,No Biofertilizer Applied,NA,NA,NA,NA
Pest management,Pest management in plants,Inoculants,Inoculation,Inoculation,Biofertilizer,NA,NA,AS based on ERA 01_chemicals$C.Type,2_input_reduction
Pest management,Pest management in plants,Inoculants,Inoculation,Inoculation,Seed inoculation,NA,NA,AS based on ERA 01_chemicals$C.Type,2_input_reduction
Pest management,Pest management in plants,Inoculants,Inoculation,Inoculation,Soil inoculation,NA,NA,AS based on ERA 01_chemicals$C.Type,2_input_reduction
Pest management,Pest management in plants,Inoculants,No Chemical Applied,No Chemical Applied,No Inoculation Applied,NA,NA,NA,2_input_reduction
Pest management,Pest management in plants,Insects control,No Chemical Applied,No Chemical Applied,No Insecticide Applied,NA,NA,NA,2_input_reduction
Pest management,Pest management in plants,Insects control,Biochemical control,Non-synthetic pesticide,Bioinsecticide,NA,NA,AS based on ERA 01_chemicals$C.Type,2_input_reduction
Pest management,Pest management in plants,Insects control,Chemical control,Synthetic pesticide,Insecticide,NA,NA,AS based on ERA 01_chemicals$C.Type,2_input_reduction
Pest management,Pest management in plants,Nematodes control,No Chemical Applied,No Chemical Applied,No Nematicide Applied,NA,NA,NA,2_input_reduction
Pest management,Pest management in plants,Nematodes control,Biochemical control,Non-synthetic pesticide,Bionematicide,NA,NA,NA,2_input_reduction
Pest management,Pest management in plants,Nematodes control,Chemical control,Synthetic pesticide,Nematicide,NA,NA,AS based on ERA 01_chemicals$C.Type,2_input_reduction
Pest management,Pest management in plants,Pest control,No Chemical Applied,No Chemical Applied,No Pesticides Applied,No inputs of chemical pesticides.,NA,AS,2_input_reduction
Pest management,Pest management in plants,Pest control,Biochemical control,Non-synthetic pesticide,Biopesticide,NA,NA,AS based on ERA 01_chemicals$C.Type,2_input_reduction
Pest management,Pest management in plants,Pest control,Chemical control,Synthetic pesticide,Synthetic pesticides,Synthetic pesticides added,NA,BIOFincas,2_input_reduction
Pest management,Pest management in plants,Rodents control,No Chemical Applied,No Chemical Applied,No Rodenticide Applied,NA,NA,NA,2_input_reduction
Pest management,Pest management in plants,Rodents control,Chemical control,Synthetic pesticide,Rodenticide,NA,NA,AS based on ERA 01_chemicals$C.Type,2_input_reduction
Pest management,Pest management in plants,Weed control,Mechanical control,Mechanical method,Bioherbicide,Suppression of weed growth or killing weeds using bioherbicides,NA,AS based on ERA 01_chemicals$C.Type,2_input_reduction
Pest management,Pest management in plants,Weed control,Mechanical control,Mechanical method,Flail,Flailing is a mechanical method of weed control that uses a rotating chain to beat down weeds in crops.,NA,AS based on ERA lookuplevels$W.Type,2_input_reduction
Pest management,Pest management in plants,Weed control,Mechanical control,Mechanical method,Hand Hoe,"Hand hoeing involves using a hoe to chop weeds at soil level, disrupting their growth and killing them.",NA,AS based on ERA lookuplevels$W.Type,2_input_reduction
Pest management,Pest management in plants,Weed control,Mechanical control,Mechanical method,Hand Weeding (Unspecified),"Extraction of weeds by hands through pulling or use of tools like panga, hoe etc.",NA,ERA,2_input_reduction
Pest management,Pest management in plants,Weed control,Mechanical control,Mechanical method,Hand Weeding (Cutlass),Manually removing undesired plants using a cutlass.,NA,AS based on ERA lookuplevels$W.Type,2_input_reduction
Pest management,Pest management in plants,Weed control,Mechanical control,Mechanical method,Hand Weeding (Machete),Manually removing undesired plants using a machete.,NA,AS based on ERA lookuplevels$W.Type,2_input_reduction
Pest management,Pest management in plants,Weed control,Mechanical control,Mechanical method,Hand Weeding (Pulling),Physically removing undesired plants by hand.,NA,AS based on ERA lookuplevels$W.Type,2_input_reduction
Pest management,Pest management in plants,Weed control,Mechanical control,Mechanical method,Manual,"Manual weeding refers to any method of weed control that involves physical labor, such as pulling weeds by hand or using hand tools.",NA,AS based on ERA lookuplevels$W.Type,2_input_reduction
